time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Plot,Plot,Plot,Volume,Volume MA,EMA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low
1582295400,60.465273,60.870606,58.696608,60.066607,59.877940333333335,59.877940333333335,59.877940333333335,59.877940333333335,59.877940333333335,59.877940333333335,59.877940333333335,60.870606,58.696608,60.465273,215091905,360540336.9,26.677556479868652,26.00157213360087,NaN,NaN,NaN,NaN,NaN,NaN
1582554600,55.933277,57.566609,54.813279,55.585944,55.98861066666665,55.98861162034097,55.988609712992336,55.988612574015285,55.98860875931802,55.9886135276896,55.9886078056437,57.566609,54.813279,55.933277,227882672,361169259.75,26.965202126835134,26.327926717346138,NaN,NaN,NaN,NaN,NaN,NaN
1582641000,56.599943,57.10661,52.466614,53.32728,54.300168000000006,54.300168000000006,54.300168000000006,54.300168000000006,54.300168000000006,54.300168000000006,54.300168000000006,57.10661,52.466614,56.599943,259357474,363931072.25,27.227511359403938,26.64327413309394,NaN,NaN,NaN,NaN,NaN,NaN
1582727400,52.166614,54.220612,51.740615,51.919948,52.62705833333334,52.62705833333334,52.62705833333334,52.62705833333334,52.62705833333334,52.62705833333334,52.62705833333334,54.220612,51.740615,52.166614,212307857,365705086.55,27.473207246375043,26.93709306908305,NaN,NaN,NaN,NaN,NaN,NaN
1582813800,48.666618,49.317951,44.599955,45.266621,46.39484233333334,46.39484233333334,46.39484233333334,46.39484233333334,46.39484233333334,46.39484233333334,46.39484233333334,49.317951,44.599955,48.666618,364157764,370250457.1,27.65025613944594,27.19874667038571,NaN,NaN,NaN,NaN,NaN,NaN
1582900200,41.979958,46.034621,40.767959,44.532622,43.77840066666667,43.77840066666667,43.77840066666667,43.77840066666667,43.77840066666667,43.77840066666667,43.77840066666667,46.034621,40.767959,41.979958,368462933,366919325,27.81823987935195,27.426883350282367,NaN,NaN,NaN,NaN,NaN,NaN
1583159400,47.417286,49.579284,45.777954,49.574617,48.31061833333333,48.31061833333333,48.31061833333333,48.31061833333333,48.31061833333333,48.31061833333333,48.31061833333333,49.579284,45.777954,47.417286,302925167,370276122.1,28.034721243736506,27.640787173662638,NaN,NaN,NaN,NaN,NaN,NaN
1583245800,53.666613,53.798613,47.740659,49.700617,50.413296333333335,50.413296333333335,50.413296333333335,50.413296333333335,50.413296333333335,50.413296333333335,50.413296333333335,53.798613,47.740659,53.666613,386760431,354188987,28.250302296037635,27.84534536098938,NaN,NaN,NaN,NaN,NaN,NaN
1583332200,50.930636,51.101282,48.315585,49.966617,49.79449466666667,49.79449466666667,49.79449466666667,49.79449466666667,49.79449466666667,49.79449466666667,49.79449466666667,51.101282,48.315585,50.930636,225734880,319771616.8,28.466385029410393,28.043980917596446,NaN,NaN,NaN,NaN,NaN,NaN
1583418600,48.251285,49.716617,47.871285,48.302618,48.63017333333334,48.63017333333334,48.63017333333334,48.63017333333334,48.63017333333334,48.63017333333334,48.63017333333334,49.716617,47.871285,48.251285,162790017,291593203.6,28.66376048185407,28.246681786078074,NaN,NaN,NaN,NaN,NaN,NaN
1583505000,46.000187,47.133286,45.617954,46.89862,46.54995333333333,46.54995333333333,46.54995333333333,46.54995333333333,46.54995333333333,46.54995333333333,46.54995333333333,47.133286,45.617954,46.000187,189943959,271179807.65,28.84520187009433,28.452074184226554,NaN,NaN,NaN,NaN,NaN,NaN
1583760600,40.359293,44.199822,40.333293,40.533293,41.68880266666667,41.68880266666667,41.68880266666667,41.68880266666667,41.68880266666667,41.68880266666667,41.68880266666667,44.199822,40.333293,40.359293,256106356,271187471.95,28.961501284322246,28.637430192343697,NaN,NaN,NaN,NaN,NaN,NaN
1583847000,43.961956,44.533289,40.533293,43.021957,42.69617966666667,42.69617966666667,42.69617966666667,42.69617966666667,42.69617966666667,42.69617966666667,42.69617966666667,44.533289,40.533293,43.961956,233916878,264366425.1,29.10140631631904,28.80765099639998,NaN,NaN,NaN,NaN,NaN,NaN
1583933400,42.679957,43.571956,40.866626,42.281958,42.24018,42.24018,42.24018,42.24018,42.24018,42.24018,42.24018,43.571956,40.866626,42.679957,201204006,265653511.9,29.232556084315863,28.960885207381075,NaN,NaN,NaN,NaN,NaN,NaN
1584019800,38.725961,39.633294,36.41663,37.369963,37.806629,37.806629,37.806629,37.806629,37.806629,37.806629,37.806629,39.633294,36.41663,38.725961,283636063,270818453.55,29.313525307357498,29.090838172481757,NaN,NaN,NaN,NaN,NaN,NaN
1584106200,39.666627,40.504626,33.466633,36.441297,36.80418533333333,36.80418533333333,36.80418533333333,36.80418533333333,36.80418533333333,36.80418533333333,36.80418533333333,40.504626,33.466633,39.666627,339604149,268081630.3,29.384448408776827,29.198687480218258,NaN,NaN,NaN,NaN,NaN,NaN
1584365400,31.299949,32.991294,29.477971,29.671304,30.713523,30.713523337174788,30.71352266282521,30.713523674349577,30.71352232565042,30.713524011524367,30.71352198847563,32.991294,29.477971,31.299949,307342267,271678448.65,29.38730269326661,29.283847762007134,NaN,NaN,NaN,NaN,NaN,NaN
1584451800,29.333971,31.456635,26.399974,28.679971,28.845526666666668,28.845526666666668,28.845526666666668,28.845526666666668,28.845526666666668,28.845526666666668,28.845526666666668,31.456635,26.399974,29.333971,359919059,277150612.35,29.380264566965447,29.339619412136408,NaN,NaN,NaN,NaN,NaN,NaN
1584538200,25.933307,26.99064,23.36731,24.081309,24.813086333333334,24.813086333333334,24.813086333333334,24.813086333333334,24.813086333333334,24.813086333333334,24.813086333333334,26.99064,23.36731,25.933307,356792786,275923014.1,29.32753864092599,29.358615923458437,NaN,NaN,NaN,NaN,NaN,NaN
1584624600,24.979742,30.133303,23.897309,28.509305,27.513305666666668,27.513306003841457,27.513305329491878,27.513306341016246,27.51330499231709,27.513306678191036,27.5133046551423,30.133303,23.897309,24.979742,452932352,285343448.75,29.31939701265807,29.35979026451855,NaN,NaN,NaN,NaN,NaN,NaN
1584711000,29.213304,31.799968,28.385972,28.501971,29.562637,29.562637337174788,29.56263666282521,29.562637674349578,29.56263632565042,29.562638011524367,29.56263598847563,31.799968,28.385972,29.213304,424282954,295803001.2,29.311263420492317,29.34515326686165,NaN,NaN,NaN,NaN,NaN,NaN
1584970200,28.906638,29.466631,27.366639,28.952638,28.595302666666672,28.595302666666672,28.595302666666672,28.595302666666672,28.595302666666672,28.595302666666672,28.595302666666672,29.466631,27.366639,28.906638,246818481,296749791.65,29.307695008348116,29.329231729877954,NaN,NaN,NaN,NaN,NaN,NaN
1585056600,31.819968,34.245966,31.599968,33.666633,33.17085566666666,33.17085566666666,33.17085566666666,33.17085566666666,33.17085566666666,33.17085566666666,33.17085566666666,34.245966,31.599968,31.819968,343427893,300953312.6,29.351067525677987,29.323392321620464,NaN,NaN,NaN,NaN,NaN,NaN
1585143000,36.349964,37.133296,34.073966,35.949964,35.719075333333336,35.719075333333336,35.719075333333336,35.719075333333336,35.719075333333336,35.719075333333336,35.719075333333336,37.133296,34.073966,36.349964,318341493,306254994.4,29.41672818711403,29.34123023085807,NaN,NaN,NaN,NaN,NaN,NaN
1585229400,36.49263,37.333296,34.149966,35.210631,35.564631,35.564631,35.564631,35.564631,35.564631,35.564631,35.564631,37.333296,34.149966,36.49263,261331491,301113680.75,29.4743789613716,29.372226620600777,NaN,NaN,NaN,NaN,NaN,NaN
1585315800,33.666633,35.053298,32.9353,34.290632,34.09307666666667,34.09307666666667,34.09307666666667,34.09307666666667,34.09307666666667,34.09307666666667,34.09307666666667,35.053298,32.9353,33.666633,215661335,293473600.85,29.522301877178847,29.414434311938077,NaN,NaN,NaN,NaN,NaN,NaN
1585575000,34.017299,34.443106,32.748634,33.4753,33.55568,33.55568,33.55568,33.55568,33.55568,33.55568,33.55568,34.443106,32.748634,34.017299,179971184,287325901.7,29.561635191833783,29.465222348635212,NaN,NaN,NaN,NaN,NaN,NaN
1585661400,33.416633,36.197297,33.1333,34.933298,34.75463166666666,34.75463166666666,34.75463166666666,34.75463166666666,34.75463166666666,34.75463166666666,34.75463166666666,36.197297,33.1333,33.416633,266572541,281316507.2,29.615084573009568,29.518025758101533,NaN,NaN,NaN,NaN,NaN,NaN
1585747800,33.599966,34.263619,31.673302,32.103968,32.68029633333333,32.68029633333333,32.68029633333333,32.68029633333333,32.68029633333333,32.68029633333333,32.68029633333333,34.263619,31.673302,33.599966,200297900,280044658.2,29.639849582233353,29.562650037125394,NaN,NaN,NaN,NaN,NaN,NaN
1585834200,32.068635,32.950627,29.75997,30.29797,31.002855666666665,31.002855666666665,31.002855666666665,31.002855666666665,31.002855666666665,31.002855666666665,31.002855666666665,32.950627,29.75997,32.068635,297876702,286798992.45,29.646398044101677,29.59705385367141,NaN,NaN,NaN,NaN,NaN,NaN
1585920600,33.966633,34.365966,31.225975,32.000635,32.53085866666667,32.53085866666667,32.53085866666667,32.53085866666667,32.53085866666667,32.53085866666667,32.53085866666667,34.365966,31.225975,33.966633,338431478,294223368.4,29.669823287443947,29.62655813572443,NaN,NaN,NaN,NaN,NaN,NaN
